what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1378406280916
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1378406280916
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1378406280933
started,bundle,org.eclipse.rse.services.local,2.1.202.R32x_v201102011435,"org.eclipse.rse.services.local",1378406280936
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406281044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406282041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406293467
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1378406293900
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1378406294293
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1378406294358
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1378406294653
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1378406294685
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1378406294733
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1378406294756
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1378406294810
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1378406294868
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1378406296357
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1378406296373
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1378406298649
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1378406298682
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1378406298982
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1378406308776
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406309278
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1378406315375
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1378406315840
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1378406315907
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1378406329536
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1378406329938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406330068
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1378406332294
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1378406333177
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1378406334215
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1378406334215
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1378406336578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406354198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406376960
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406388371
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406422529
error,log,,,"Cannot nest 'C:xampp/htdocs/hato/includes/.metadata/.plugins/org.eclipse.php.core/__language__/57bdaf43' inside library 'C:xampp/htdocs/hato/includes'",1378406422624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406422904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406428664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406440852
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406447761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406451752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406485744
error,log,,,"Cannot nest 'C:xampp/htdocs/hato/includes/.metadata/.plugins/org.eclipse.php.core/__language__/57bdaf43' inside library 'C:xampp/htdocs/hato/includes'",1378406485779
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406486097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406492006
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406493923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406600508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406602906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406647555
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1378406648855
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1378406649707
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406660698
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1378406661343
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1378406661381
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1378406661382
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1378406661382
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1378406661413
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1378406661440
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1378406661441
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1378406661441
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1378406661441
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1378406661441
stopped,bundle,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui",1378406661443
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui",1378406661443
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1378406661447
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1378406661501
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1378406661522
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1378406661523
